,review,rating
8489,job bad location order item stupid second frie,1 star
8490,car able order lady drive thru,1 star
8491,mcdonald spanish breakfast brother time order thing burritos small coffee sugar order coffee cause receipt sugar coffee creamer,1 star
8492,tonight thing fine sudden guy staff customer service customer service number right lady help officer disgraceful insulting rank military treat people military alone officer military officer former officer belief officer specialist member military force use rank status excuse disgrace uniform military country triess type behavior staff fantastic job thank,5 stars
8493,lobby open mf car drive window app luck,1 star
8494,busy fast watch homeless people,2 stars
8495,chance try location speaker window gentleman arm clear presence unacceptable unprofessional closed put sign door,1 star
8496,good thing location cleanliness table number dine food grab counter defeat purpose table number employee drink tell fact drink unwrapped burger good hard stack sandwich staff,2 stars
8497,order desk type customer service top steer clear,1 star
8498,mchicken,5 stars
8499,location decent food reliability slow food cold,3 stars
8500,bad mcdonald food hot fresh tonight place open fry warm air frier burger cold hour place busy poor quality food option,1 star
8501,next time tell suprise order,1 star
8502,tomato hamburger funky tonight gross chicken nugget stale cold,2 stars
8503,hour hour hour location location,1 star
8504,horrible minute breakfast thru,1 star
8505,line minute else order way correct order phone busy super irritating,1 star
8506,bad customer service food fresh fresh food non fresh food ugly attitude,1 star
8507,close lobby open hour least people order foot,1 star
8508,open hour guy drive,1 star
8509,mcdonald good fry,5 stars
8510,filthy service messed order fix,1 star
8511,show door drive open hotel lot option breakfast car guy nice order order food mcdonald guy thank,5 stars
8512,wrong,1 star
8513,closed restaurant,1 star
8514,cleanliness full care thought working staff good,5 stars
8515,morning hashbrown way,1 star
8516,late night nice busy,5 stars
8517,cold food order mcdonald,1 star
8518,people friendly customer,3 stars
8519,busy place ghetto medium fry small small fry,3 stars
8520,starter place single table dirty floor lid lobby willing place second chance effert none staff busy staff cleanliness lobby needless,1 star
8521,open pedestrian am queue leg car screen noone guess human car helpful staff order way embarrassment,2 stars
8522,business service food floor price,3 stars
8523,absolute bad location people rude order wrong last,1 star
8524,location clean order fresh good stop quick bite,5 stars
8525,bad experience first cashier attitude app large fry rude tone show bar code past show number type eye apple pay apple pay receipt next window next window guy receipt home see app discount fry fry large medium cold soft live block nugget old cheeseburger soft today dinner time thing cold fresh food,1 star
8526,lot store slow service rule open today hour store pickup pickup door dash,2 stars
8527,order correct food employee dirty unkempt bad restaurant,4 stars
8528,thru busy place strict careful,4 stars
8529,mcdonald food taste,4 stars
8530,service,5 stars
8531,today separate order door letter sort people happy location,1 star
8532,guess mcdonald double cheese small order fry pickup window window food line furth window car food window good minute window food person food word step food fry cold stale pay get salt,1 star
8533,fast service staff friendly attitude,4 stars
8534,mobile minute drive time food cold money,1 star
8535,long little home day apartment front desk day information website state state send link ill copy money tomorrow afternoon sick,4 stars
8536,mcdonald good fast food store price quality good app,5 stars
8537,great close work fresh,5 stars
8538,mcdonald free homeless show dine option purchase necessary subject talent intoxication level,4 stars
8539,star consistency mcdonald location fan location mcdonald,5 stars
8540,food okay,2 stars
8541,food cold nugget crispy disappointed fry,2 stars
8542,restaurant hour minute least car response speaker light communication staff attempt tell customer,1 star
8543,open hrs walk open pm,1 star
8544,hash brown meal hr,1 star
8545,employee slovenly employee boyfriend counter whispering ear order minute,1 star
8546,line fast food fresh hot love celebrity meal,5 stars
8547,lobby sign reason curbside spot long attempt see lobby phone,2 stars
8548,ok food bag top several bag problem,4 stars
8549,food good friendly,5 stars
8550,company party friendly none much food surprised good well place lunch rotation,5 stars
8551,absolute slow mcds salt hand gas hot spicy sandwich fry joke good mcdonald d pep step,3 stars
8552,location first thing mic large fry small fry large drink small fry ridiculous busy inappropriate sound job less star,1 star
8553,lot wrong order,4 stars
8554,guy well location open lobby pm car line least minute horrible mcdonal,1 star
8555,order hair soda,1 star
8556,need driver food order ready car food cold cold food customer lousy way driver new employee new management joke restaurant,1 star
8557,place worrie drive leave lobby wit people food min kid hungry wrong happy time givin star people able review,5 stars
8558,location joke whole line way street,1 star
8559,service food promotion coupon money loyalty point free item today large mocha,5 stars
8560,way food mcdonald vehicle entire lobby order patron vehicle nearby hotel,1 star
8561,walk lobby door minute closing time horrible customer service,1 star
8562,thing place vanilla coffee sad flavor coffee bland food hot fresh french fry large huge carton,3 stars
8563,restaurant treat delivery driver order drive minute order screen reason order laziness mcdona,1 star
8564,graveyard shift area quick bite quick break vehicle front female worker system wait moment order order answer updating order mobile order easy end leave place quick bite closed driver stall male employee nice notice clear unprofessional attitude female employee well well customer service skill minimum wage miserable,1 star
8565,,1 star
8566,dining room morning location much worker order use keosk sausage biscuit meal way order cheese meal half time soda stock order meal floor filthy front soda machine lid garbage dining room full overflowing kid table cloth spray,2 stars
8567,good mcdonald food,4 stars
8568,toilet leftist official insulated population blight mess,1 star
8569,wish star mcdonald suck order store employee manger rude,1 star
8570,food good price reasonable people reasonable amount time playground time experience little bit point,5 stars
8571,,1 star
8572,location long process order line mobile order 1015pm take drive minute wrong order screen ordering area guy rude sure gentleman tie receipt,2 stars
8573,location coffee time good morning crew fast service crazy friendly fast breakfast,5 stars
8574,trash customer service trash mcdonald real week tomorrow,1 star
8575,hot right,5 stars
8576,order curbside option open dining bunch people thru car lot customer,1 star
8577,service food mcdonald,3 stars
8578,good mcdonald early watch overcooked stale fry system go spot alot place,4 stars
8579,review number complaint hour 24hrs true sure midnight am am funny thing closed close early need correct hour case work hungry location close work frustrating pay app food hour online people hope,1 star
8580,way hot coffee cold,3 stars
8581,manager side wait minute apple pie cooking problem order minute sandwich minute circle drive ask first guy sauce help,1 star
8582,word bad manager location sure spread word visit location minute open thing clock wanted breakfast line long fault understanding frustrating excuse excuse talk rude treat people jame customer,1 star
8583,food good crewmember distracted,5 stars
8584,kid fire,5 stars
8585,trash dispenser syrup bad hamburger raw good experience,1 star
8586,first time location meal normal lettuce big old stuff time none food hot warm nugget great food location shot well food price,2 stars
8587,occasion good bad morning car drive thru minute order saw car pick window food warm hot drive car lane telling,1 star
8588,mcdonald big mickey dee,3 stars
8589,due purchase necessary soda,4 stars
8590,star nasty fry burger heater good thing lobby clean,1 star
8591,staff short dollar worth food time slow service,1 star
8592,nice experience mcds review week staff content food complaint,5 stars
8593,register order bag food happy service,2 stars
8594,minute,2 stars
8595,bad experience drive night chocolate shake pickup window lady chocolate shake vanilla money money,1 star
8596,pedal drive thruas countless location lady speaker time minute work hungry mcdonald order accept walkup bicycle walkup order needless business,1 star
8597,great location efficient service sure employee busy angel nice happy friendly complimentary experience notorious giving subpar experience incredible,5 stars
8598,idea time lobby pm time food cold,2 stars
8599,wife ice coffee morning extra syrup cream extra syrup extra cream extra cream syrup coffee coffee,1 star
8600,disappointed breakfast day good mcdonald surestaff kind rude music food worker problem tolast resort sure location house well service,3 stars
8601,2nd time problem mcdonald first time kind mistake redickuless price potato price store fry cent worth salt,2 stars
8602,dirty slow night small staff mcdonald,2 stars
8603,love location downtown quick,5 stars
8604,new crispy chicken dry pickle tomato end piece fast food take pride move drive line,3 stars
8605,order ready timely manner,5 stars
8606,time slide mcdonald clean professional everytime chair sticky food fake hamburger tiny bread soggy,3 stars
8607,old food cold fry hot fresh food manager shift sure item night,5 stars
8608,hispanic female hair people food,1 star
8609,coke mix hose way good bummer,3 stars
8610,order window problem order vehicle money order lady rude slammed window example policy vehicle sorry remember public mcdonald favorite convinient unhealthy food,1 star
8611,dining room sign inquire female employee rude dining room lot attitude enough people obvious sign woman people,1 star
8612,time person order,2 stars
8613,great time assistant manager,5 stars
8614,nearby location well service employee nice tran woman night rude reason location way coupon well example free quarter pounder big mac sandwich rung meal meal coupon removed meal double attitude location,1 star
8615,past month close store face low count night staff morning line kid working hour fact min order app free point quick bite night usual business point pointsand lucky star update point train staff overhaul entire place new staff,2 stars
8616,whole area good mcdonald friendly employee friendly repeat order receipt ask day parking lot clean area lot problem soda cold watery hamburger patty sauce dripping patty bun,5 stars
8617,friendly helpful monotone environment restaurant bad special,3 stars
8618,lovin,1 star
8619,fry ice cream honest second,1 star
8620,horrible customer service customer line,1 star
8621,chocolate shake mixture chocolate fix wait minute mixture vanilla ice cream thay machine,1 star
8622,time good fry good employee place list place last time mcdonald,1 star
8623,short efficient friendly mcdonald great value fun food choice flavor covid19 exposure,5 stars
8624,mcdonald people popular burger place location service good thing happy meal box eternal theme toy superhero magic mix,5 stars
8625,high price terrible food stale customer service lacking time chance,1 star
8626,fun nice breakfast cashier match customer customer bad vibe food fine different mcdonald right,2 stars
8627,homeless people car open door passenger side man location,1 star
8628,location alot day bad experience location mocked food terrible careful,2 stars
8629,boyfriend large fry large drink window pay coupon large fry rest venmo girl idea assistant manager idea manager time drink manager hard time drink order fry fry free second order large fry phone free fry rude star,1 star
8630,people service good today order,3 stars
8631,food quality good service fast location downtown clientele interesting mix staff bit job unruly customer friendliness good quality food,3 stars
8632,solid mcds honor liberty card free matching sandwich,5 stars
8633,security guard middle food service fine,4 stars
8634,much area homeless people restaurant uncomfortable meal small child lady order food great happy meal toy big restaurant clean,2 stars
8635,bad mcdonald planet,1 star
8636,town breakfast bacon egg cheese biscuit light hour impossible eat sausage mcmuffin dry order hotel room less minute terrible breakfast let manager professional fast food establishment year food substandard time call common courtesy ignorant attitude management needless way location,1 star
8637,bad customer experience period night manager order quick thinking mistake cut rude line food night line night bad sure order line crazy thing,1 star
8638,present help free food coupon coupon buger king youth age old coupon many taco bell corporation nice tired item mcdonald life know day blessing sorry combined type many charter glad people world people food other fast food worker tired food expensive farmer crop world sad many state disaster fast food fun eatery care let neighbor world agape sister roger,5 stars
8639,cheeseburger chicken sandwich order mcdonald well extra onion noticeable location attention beef juicy fresh mcdonald chicken hot spice usual speaker,4 stars
8640,normal mcdonald manager employee front customer bad manager place busy wait bit usual location homeless people exit parking lot hot summer day mcdonald mistake window parking lot homeless man money cash couple quarter car brother bit brother car money inside car food passenger seat hand steering wheel stop quarter food food end buck coin car feeling window experience review bad place,3 stars
8641,tonight guy open hour kiosk window business hour,1 star
8642,man location bad,1 star
8643,place turnaround time patheticcccc expectation low place long time,1 star
8644,work graveyard mcdonald food 7th location hour time close update hour time way way starvation wage able extra hand,1 star
8645,mcdonald,4 stars
8646,order chicken nugget fry kid burger dry heat light long sand dry fry stale disappointed work money dollar bad quality food disappointed understatement location,1 star
8647,homeless people shirtless guy right window tell food,1 star
8648,start long speaker quiet thing number size part order fry combo meal manager medium fry large,2 stars
8649,mcdonald fry mcdonald,1 star
8650,time time great prompt service order half time long order wrong hot spicy cheese double cheeseburger burger piece cheese hot spicy chicken old toss dice hour,3 stars
8651,order airport minute word,1 star
8652,medium drink niece happy meal medium drink guy food window food window drink food drink window medium drink automatic cashier receipt copy receipt stormed minute shove receipt face copy receipt need first window medium drink copy receipt cashier bad mcdonald mistake,1 star
8653,service quick person order unprofessional horrible service drink cut,1 star
8654,machine new soda dispenser restaurant clean order much interaction employee nice overall great experience restaurant good customer experience quick visit,5 stars
8655,mcdonald least food cold fry store complaint,5 stars
8656,mcdonald popular place complacent fish fillet half way taste fish lettuce tomato sandwich,3 stars
8657,unsuccessful visit impression staff,1 star
8658,next door hotel breakfast sandwich sandwich nasty reason star way manager worker front customer people way rude talk person well manager unacceptable,1 star
8659,great customer service food old hard item,3 stars
8660,sorry people time unbelievable fast food chain many issue mind people job,1 star
8661,use bathroom friend couple little burger restroom dirty toilet seat toilet tissue absence actual seat available dispenser,3 stars
8662,hour operation midnight able order system 45min closing update people time gas,1 star
8663,bad,1 star
8664,night slow minute order window minute people window intercom rude busy rude customer busy,1 star
8665,good experience time spectacular peep hangin reason downtown mcdonald big radius good new selforder station thing good renovation shabby mcds shabby,4 stars
8666,cheese egg mcmuffin egg well cheese cool,3 stars
8667,line lunch dinner hour,5 stars
8668,tad bit slow usual consistent taste value money breakfast,4 stars
8669,place,1 star
8670,good waitress tray portable battery phone security officer smoking smokei instruction street confused bit worried lg coffee set glovesso question restaurant user friendly harass patron good dining experience,2 stars
8671,guy hubby time pay guy car thing way good people nice people diabetic blood sugar car block cashier kindness tow guy hour type car kind people wave thank fish sandwich extra sauce french fry hot perfect ice drink right mix extra napkin humble thank,5 stars
8672,slow thru breakfast heavy item little thing people care js,3 stars
8673,clean service decent well average far mcdonald love place mobile order easy way lunch rush food average food,4 stars
8674,charge,1 star
8675,sister town late funeral next day little order thing order hotel hotel spicy chicken sandwich late dollar correct rest order far quality food decent fast food mcdonald,3 stars
8676,confirm app walk order hotel nearby mcdonald door lobby hung phone hook customer service,1 star
8677,order else wrong food bag minute mcdonald first place,1 star
8678,good location valley customer service great staff friendly wait time bad satisfied location,5 stars
8679,family bad experience hotel nice hot chocolate cooky cooky hard rock hot chocolate disgusting hot water peppermint top customer service awful order machine question bad time wrong save time,1 star
8680,plan unwelcomed pm basic common courtesynothing moreand less customer service issue mcds franchise issue managerstonight scooter side building last year large black security guard car lot couldnreep timeit word tone pompous condescending attitude front scooter straight manager vent complaint treatment young demur manager treatmenti lived area mcds additional mile half burger king dime mcdive change employee bigwig lack customer service concern mcdonaldsi disgust advicedont customer,1 star
8681,midnight busy people drivethru order fry salt reason sick cold fry way much salt day order end fast food annoyance guy word response rude change order extra time time fry cold,3 stars
8682,staff messed order good mcdonald clean food one decent location,3 stars
8683,breakfast sandwich day chicken sandwich spicy version food,1 star
8684,old lb wcheese fry disappointment hamburger warm enough melt chee,2 stars
8685,soggy double quarter pounder wcheese beef paddy way hard eat,2 stars
8686,lot money location bad experience downfall restaurant state hour closed hour night breakfast morning closed middle day open customer service food quality,4 stars
8687,impressed service food fresh great job,5 stars
8688,employee store evening overwhelmed great service smile guy,5 stars
8689,ice cream cone perfect calibrate machine soda water thank mcds,5 stars
8690,minute customer burger gouda cheese good bun soggy flat warm time aarp special manager special,3 stars
8691,professional quick convenient way highway park liquor store good service,4 stars
8692,neighborhood mcdonald meh luster service drive time dining room service good security people people homeless bum security time food minute walk burger,3 stars
8693,homeless shelter mcdonald,2 stars
8694,last time mcdonald min people employee attitude pickle none burger lazy job register order use damn machine customer service polite long way lady wrap food,2 stars
8695,big mac meat patty,1 star
8696,dirty employee rude mad cause ketchup eat employee customer man bathroom men closed daughter bathroom front man security guard use employee daughter well clean place food hand table wash cloth clean many drug dealer worker lobby parking lot drug deal security guard duty look,1 star
8697,real talk mcdonald mcdonald dollar rest life last place category,1 star
8698,good breakfast whole famz good price point free big haha,5 stars
8699,way egg sausage muffin little soft fresh tasty one bunch oneway street figure fast service complaint,5 stars
8700,bacon egg cheese biscuit meal bacon complimentary meal great free coupon chicken sandwich signature burger office care corporate,1 star
8701,bad service time attention waiting line time food min least min line attention hour food cashier know cash sure choice run debit card fine normal amount time ill drive min location,1 star
8702,am morning attendant order thorough friendly handed order friendly attendant order correct fresh delicious good mcdonald service thank team morning,5 stars
8703,friendly staff position due homeless moment,5 stars
8704,mcdonald last year time terrible time time lunch hour burger rest meal quarter pounder bag tonight minute exaggeration burger line driven home eat,1 star
8705,place employee store disgusting order food management employee spot outta job entertainment value star quality star,1 star
8706,right mcslappys lil freedom watch sk8boarder head spoon straw dolphin everytime way spoon less year decompose take bottom basic hamburger boy bottom chicken sando,5 stars
8707,use kiosk cash kiosk cashier receipt pay check lot time food fast dining room bathroom clean advantage customer,2 stars
8708,star employee superior customer satisfaction service employee lead supervisor attitude coffee soft drink policy offer refill due high level homeless awful thing restroom exit restroom press button order door unlock high management read review establishment mcdonald location,1 star
8709,midnight staff nice quick effective long line staff time,4 stars
8710,slow bar drunk hungry fry old hot disorder drive lane car lane car order car least minute line boardmicrophone speaker menu minute order overall time yes minute frequent harassment dozen homeless people money cigarette food wash window lack patience point alone staff management fix other,1 star
8711,service sign parking lot parking lot minute truck pay food hand store manager main office complaint kind thing money advantage,1 star
8712,fast simple delicious experience mcdonald far management top system many disappointment mcdonald location great,5 stars
8713,blood women old cashier talking manager number receipt different time busy signal daughter side drink kitchen area order food disgusting mcdonald star rate bad,1 star
8714,fine people place security front door case thing thing view amount druggy mcdonald half heat security half stand line figure front desk leave mcdonald yell question general nuisance establishment costumer fault cost reason star good customer service clean bathroom cashier lot weird stuff broken end day night first impression day communist ability food horrible,2 stars
8715,picky order stuff right time line friendly people,5 stars
8716,customer service skill yor presence talk order money shopping,1 star
8717,cold fry sign customer parking customer minute long location combo rum bring home dinner wife mcdonald second liquor store purchase return voyage minute time boot car person responsible parking lot mcdonald customer fastfood purchase minute parking lot cold evening fast food car cold time thing logical order store file complaint towing staff predatory company bed,1 star
8718,world thru drink person initiative drive spot husband happeningdefeating point staff slow item bag little mcdonald grease arm fry greasy none food poisoning,1 star
8719,area friend mcdonald hour half search open location location ice cream machine machine terrible service order taker rude idea process cash payment lane apparent problem usual people night vehicle front order exit ordering spot,1 star
8720,poor slow service old man table word phone saying minute food leave cashier man security item minute speak supervisor duty day corporate office phone number rude way,1 star
8721,food place cold old,1 star
8722,disgusting mess stall bloody tissue sink biohazard clean left child cycle stall constant line kid,1 star
8723,line food warm order correct fast food joint,4 stars
8724,star mcdonald dollar piece mcnugget quarter pounder cheese big normal piece second pay,1 star
8725,nice new remodel good food,4 stars
8726,lobby hour week pandemic least waste anyone time,1 star
8727,mcdonald downtown salt parking downtown impossible mind parking lot massive mcdonald way big store people advantage mcdonald parking idiot car advantage customer sign plain day minute parking subject sign premise vehicle freaking sign metal sign money custom entertainment cosmetic purpose brain note first time food mcdonald good cook well staff friendly effective order accurate star closing lobby night lot crazy midnight early morning hour,5 stars
8728,service good driveway right order homeless person dog,2 stars
8729,dining room pm,1 star
8730,staff unfriendly food old onion signature hamburger tasted concert busy fry minute gross,1 star
8731,horrible service drive associate s time employee,1 star
8732,signature double bbq burger tonight bun black fry cold wife chicken nugget bbq sauce sauce nugget cold horrible service,1 star
8733,reason mcdonald star customer service great food great well mcdonald microwave bread stale fry great order fry fresh fry order fry salt clean cooking area clean spic span reason star food quality great improve star star guy mcdonald,3 stars
8734,employee sister inlaw happy meal manager need people customer,1 star
8735,absolute bad service manager damn minute first window window 2nd window employee minute 2nd window hash sandwhich,1 star
8736,open construction minute window manager food drink coworker apology long wait location,1 star
8737,rude,1 star
8738,mcdonald dark age good place fast food food price meal someplace lot social attractiveness,3 stars
8739,mcdonald lovely meal friend evening order chicken nugget breakfast time place disappointed large fry container half full cold salt sausage egg biscuit,1 star
8740,angry homeless people giant mess counterheight seating area acost spot return minute restroom customer wrapper seated meal mcdonald particular location staff nice food good mcdonald homeless people trash ruin anyone day,3 stars
8741,glance place good first quarter pounder cold fix commercial fresh bs meat drawer warm first fly last time left guy water rude sweaty security guard place family,1 star
8742,perfect way end night quarter bar staff friendly fast new pokemon happy meal morning rare holographic pikachu pokemon card toy happy meal,5 stars
8743,food typical messed drink mcdonald,3 stars
8744,minute wait drive car large order line predatory person lot comfortable police exchange,1 star
8745,employee stressed new look store old year old easy non conformist customer,5 stars
8746,morning coffee jerk window rude today long nice weekend impression happy frequent establishment minute time food car coke sausage biscuit,1 star
8747,minute line breakfast menu lunch time night separate time awful experience several gas station well food,1 star
8748,picture mcdonald rough area security guard permission bathroom people dirty good staff friendly part food fast taste decent noticed bun stale edge location other,2 stars
8749,employee friendly little stressed manager last minute manager shift employee understaffed employee good job understaffed rush coffee great wait 5th ave,3 stars
8750,construction employee ridiculous employee money cell phone entire time correct change phone medium fry small amount medium container bag,1 star
8751,franchise good year owner onthe line good,5 stars
8752,horrible experience drive thru part order mention,1 star
8753,food disgusting service kid entire happy meal toy chicken nugget sundaes random table guy marker top rude fault job absolute bad experience restaurant,1 star
8754,granddaughter mcdonald location order call help order kiosk cash order kiosk cash counterwhatthen order call counter 2nd time order meal needless inconvenience people order close lobby location way people review customer real matter surprised mcdonald location franchise customer,1 star
8755,order sweet spicy tender numerous time drive sauce obvious sweet spicy glaze redwood road well service food,1 star
8756,exact location mcdonald employee woman cashier order menu sandwich deal phone pen code receipt penny exact code oencile security employee manager manager understanding woman last order minute ammusing idiot customer roll manager little short exact cash woman side meal,4 stars
8757,store unfriendly unprofessional heavy order young man head order order kiosk goodbye mcdonald dime money business tactic happy bankruptcy time side note mcdonald year day week good thing happy order money funny part double burger meat well price dollar cheap,1 star
8758,coffee twin food use bathroom available minute rating post,1 star
8759,service wrong waiting hour touchscreen cup soda terrible people refund people night elderly people food bad experience patient bad experience mcdonald,1 star
8760,first hamburger ugly ketchup place next fry salty way crispy horrible syrup cherry good thing trip playground,1 star
8761,joke work gateway chicken nugget extra sweetandsour sauce top nice lady welcome put sauce bag,1 star
8762,security guard mcdonald riff raff nice calm lock impressed downtown,5 stars
8763,fast food fast service low quality meal whole food organic food food price normal value low area food quality price convenience fast drivethru,2 stars
8764,several minute help several time typical bs lane man mic,1 star
8765,bad part town lot homeless panhandler security uncomfortable good place kid service quick food special mcdonald price downtown downtown cost mcdonald,3 stars
8766,horrible bad customer service awful food cold hot spicy fry empty cold oil bad experience overall worth extra minute,1 star
8767,drive thru big breakfast sure syrup fork employee eye,2 stars
8768,ok charge use restroom gross worth employee apple pie hand seat new management dumb enough room toilet toilet,1 star
8769,girl order counter suggestion money,5 stars
8770,park lot parking enforcement boot car ate atm lobby food waste staff rude ice cream bathroom dirty star,1 star
8771,thru morning order order car employee intercom mid order customer screw customer service industry,1 star
8772,much particular store part town lot homeless people restaurant area homeless people lot store one personal safetyi time doctor thank employee lot store black shirt security big white letter person actual background security entire training consist shirt store clean service slow hard time good help day impressed worker courteous food mcds consistency quality particular challenge part city,3 stars
8773,service slow food old good quality worker nice friendly overall location,3 stars
8774,minute car front cash system sever ok get number medium lemonade hold moment silence silence car window least line order coffee fry cash minute frustrating test patience location shot,1 star
8775,particular store lobby open quick service hour,1 star
8776,order accurate long thru dinein service,4 stars
8777,drive thru moment minute place order order window thinking horn employee minute order watch least car drive thru sit order job employee mcdonald customer way star post wise star,1 star
8778,customer service horrible customer right correct wrong screw order,1 star
8779,drive sausage mcgriddle burritos hash hot mcgriddle cold warm microwave home store manager situation,2 stars
8780,bigmac lettuce sauce teaspoon worth edge burger fry meh,1 star
8781,hand bad mcdonald restaurant service abysmal highpriced food standard time homeless people bad customer service exorbitant price location worth thing note location honor survey free,1 star
8782,restaurant rude close know tabu show restaurant close hour hungry door employee security guard door door early sign state hour unexceptable,1 star
8783,car dumb people girl friend soda wine lovely night total sign premise opposite side lot reflective night shift sign people patron extension night employee tow company wholehearted boycott,1 star
8784,place lock restaurant,1 star
8785,rude lady morning smile deter destain assume many mcdonald deal morning short morning bad,1 star
8786,start responsible caramel macchiato machine person,1 star
8787,preface statement hardcore proponent fact force utilize kiosk self sabotage people willing pay counter demand kiosk heavyset woman glass mad angry customer stuff forward manager time loud rhe lobby hover lobby people catch mess clean table quick food service hover people kind table patrol security guard calm mean clock else service inconsistent usual horrible uber driver intent self destructive goal sabotage job,1 star
8788,nugget undercooked,2 stars
8789,long line past minute window pay employee blue fake nail phone youtube wonder,1 star
8790,disgusting term full homeless people heroin food garbage nasty filthy parking lot full shady people car people sidewalk drug,1 star
8791,double cheese burger patty sloppy hamburger grill piece bun coke fry good star,2 stars
8792,terrible experience mcdonald employee dear manager great job,1 star
8793,watermelon slush pmthank hour mcdonald,4 stars
8794,area homeless people strict time limit restaurant bathroom multiple time access fiance kind blueish chunk burger nice clean unfriendly staff atmosphere food,1 star
8795,fast food parking lot traffic lot dangerous crowded bad pull window wait food car sit,4 stars
8796,awful place chicken tender fry waste phone call minute people horrible,1 star
8797,force customer new machine large orange breakfast meal employee help order machine order small large order employee manager cent large annoyed young girl order large cent unhappy unfriendly whole experience particular mcdonald,1 star
8798,sure area common knowledge downtown heart homeless many drug addict location block pioneer area rude bad experience bit patience compassion fast food area,2 stars
8799,late night event salt jazz game game place fry way last time last time ice cream vanilla cone hot fudge sundaes cheap ice cream terrible sorbet cheap refrozen ice milk disgusting least coke,1 star
8800,average mcdonald star rude literate security guard morning cellphone show quick night security guard well,2 stars
8801,last order drink drive else order daughter sure simple mistake fus cereal dinner haha,4 stars
8802,order monitor food high point security guard kicking drug bad next close drive thru,1 star
8803,box chocolate good service terrible service time week span decent service recomend store,1 star
8804,store employee reset delivery system payment job horrid staff,1 star
8805,order wrong great,5 stars
8806,mcdonald service time order damn number coffee security security total ahole minute total judgmental ahole mcdonald,1 star
8807,mcdonald today big complaint food good server courteous food quick great visit,4 stars
8808,good thing visit napkin waterso table eating busy food order wrong staff,2 stars
8809,food much mcdonald,3 stars
8810,dollar menu spicy mcchicken way price big mac sauce taste great fill,5 stars
8811,staff inconsiderate open mad people,2 stars
8812,place fix time late early sign use building place order,1 star
8813,line fire minute terrible customer service bad night,1 star
8814,bad state bad life revisit location past year due convenient location thinking time staff rude food poor quality drive time store standard,1 star
8815,ice cream machine,1 star
8816,bad service menu open thru dine open,1 star
8817,mcdonald long time ice cream machine employee lady money minute drive thru order window pay minute pay mcdonald,1 star
8818,location order kiosk customer friendly employee order counter due shady area mcdonald order least,3 stars
8819,joke girlfriend egg mcmuffin night minute order food quality horrendous apology long wait place cost gourmet food mcdonald english muffin hard girlfriend tooth egg mcmuffin staff unfriendly unapologetic joke location,1 star
8820,location busy quick people line staff friendly many ppl,4 stars
8821,gross mcdonald dirty floor deep dirt gum black mark bad part infestation food prep area table hurl head,1 star
8822,lane fine lane street,2 stars
8823,quarter pounder cheese extra pickle perfect fry little bit son,4 stars
8824,dirty mcdonald washroom employee washroom hand stuff hand employee counter trash floor syrup drink station lid straw absolute disarray management kind behavior terrible level cleanliness,1 star
8825,slow service communication,3 stars
8826,people nice guy grump,2 stars
8827,vagrant peeing cup breakfast piss cup sidewalk god sake money hobo issue bad wheelchair hour money customer help mcdonald woth hobo,1 star
8828,dozen hot chocolate homeless youth center youth thank,5 stars
8829,ice drink twice time ice male server window grief,3 stars
8830,terrible long odd time day cold food great service half full flat ice,1 star
8831,good location easy access 5th new renovation drive lane service solid typical mcdonald experience,3 stars
8832,bad experience mcdonald order confirmation screen person order training order accuracy time location major order recent time serious attitude person order extra minute location burger king,1 star
8833,customer service impressive food quality average normal basic food order,2 stars
8834,unprecedented time lobby order order,1 star
8835,part vocabulary management screw order slow employee rude like past,2 stars
8836,anal parking liquor store liquor store food cold waiting liquor store drop bottle go mcdonald vehicle minute guy mcdonald boot foe vehicle win situation last grandkid dinner money unboot liquor dinner thank parking enforcement real winner,1 star
8837,mcdonald location sketchy downtown full homeless people many illegal drug clean enough fry fresh employee job cheer,3 stars
8838,ok employee least thankful job food employee witch good,4 stars
8839,area lot people food work state home department store work single day little uncomfortable cause line mcdonald,3 stars
8840,morning dream sweat brow recall detail table service macdonald self aloud phone find dream reality macdonald technology order table kiosk locator behold order eye glimpse creation macdonald possible reality short mouth whet final step journey finger kiosk screen lover ocean reuniting usual cheeseburger locator staff abreast day aloud journey end food table next instant fate bad gobs fold order counter faith day joy mind true happiness,1 star
8841,cash order stuff old well system fast food restaurant reason,1 star
8842,order person location employee customer order person place order self service machine location,1 star
8843,bad place order child attend,1 star
8844,fry stale piece nugget sauce piece nugget order great day,2 stars
8845,work new store manager hope manager people manager effort store month far manager nice working mcdonald year everyday smile face bad day read report bad employeesmanager bad great customer service people mad long damn store applience week replace disappointing knowing bad review happy,5 stars
8846,staff crazy busy order guy great whole situation thank,5 stars
8847,minute thru line place time boxed car,1 star
8848,time store problem order staff rude job job heredont store order,1 star
8849,friendly staff nice atmosphere nice garden front,4 stars
8850,awful human interaction kiosk intuitive cash pay cash wendys dirty table homeless person customer self kiosk,1 star
8851,bad mcdonald late night side block,1 star
8852,mcdonald service standard manager guy rodger funny joke roll window problem rude half time kid cheap cheeseburger block,3 stars
8853,slow employee history food lobby dirty drug addict due area kid happy meal,1 star
8854,crispy chicken sandwich crispy mcdonald past year happy,2 stars
8855,mediocre line order wrong,3 stars
8856,big mac cheese burger meal hungry today quarter pounder cheese pickle onion cheese hamburger grease bad burger,1 star
8857,friend phone security nuisance time occur minute second,1 star
